species,real_value,model_mean,model_std,model_min,model_max,abs_error,z_score,model_range,z_range,metric,plot
Microlepidoptera,3.0,2.1442,4.044285101745237,0.0,24.0,0.8557999999999999,0.21160723798396291,24.0,0.03565833333333333,WASS,WASS_A3_model2.csv
Oedemera_sp,6.0,9.4383,6.559504235807921,0.0,27.0,3.4383,0.5241707111385852,27.0,0.12734444444444445,WASS,WASS_A3_model2.csv
Paragus_tibialis,2.0,0.5099,2.082242916558093,0.0,20.0,1.4901,0.7156225568835678,20.0,0.074505,WASS,WASS_A3_model2.csv
Phthiria_sp1,4.0,7.9518,6.398575695972789,0.0,26.0,3.9518000000000004,0.61760619671769,26.0,0.1519923076923077,WASS,WASS_A3_model2.csv
Phthiria_sp2,5.0,21.5598,3.8344614053901895,0.0,27.0,16.5598,4.31867692727889,27.0,0.6133259259259259,WASS,WASS_A3_model2.csv
Plebejus_argus,9.0,26.6454,0.6908737733168512,18.0,27.0,17.6454,25.54070031531997,9.0,1.9606,WASS,WASS_A3_model2.csv
Rhyzobius_lophanthae,1.0,3.0553,4.755681187837977,0.0,24.0,2.0553,0.43217783506097013,24.0,0.08563749999999999,WASS,WASS_A3_model2.csv
Tiphia_morio,1.0,0.7398,2.5103239098995296,0.0,20.0,0.2602,0.10365196259092077,20.0,0.013009999999999999,WASS,WASS_A3_model2.csv
Tychius_sp,2.0,16.0144,5.6699742063566765,0.0,27.0,14.014399999999998,2.4716867290662954,27.0,0.5190518518518518,WASS,WASS_A3_model2.csv
Usia_sp,2.0,0.1313,1.0797114835402875,0.0,14.0,1.8687,1.7307401361266275,14.0,0.13347857142857142,WASS,WASS_A3_model2.csv
Xylocopa_cantabrita,2.0,12.2492,6.422727185740508,0.0,27.0,10.2492,1.595770722249402,27.0,0.3796,WASS,WASS_A3_model2.csv
Acmaeodera_sp,2.0,0.0057,0.08982380993747242,0.0,3.0,1.9943,22.202353712097707,3.0,0.6647666666666666,HELL,HELL_A3_model2.csv
Anthrenus_sp,5.0,1.2411,2.1999215339360467,0.0,26.0,3.7588999999999997,1.7086518505388082,26.0,0.14457307692307692,HELL,HELL_A3_model2.csv
Attagenus_sp,11.0,8.2001,6.252069163635552,0.0,27.0,2.799899999999999,0.44783573673261623,27.0,0.10369999999999997,HELL,HELL_A3_model2.csv
Bombylius_sp,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,HELL,HELL_A3_model2.csv
Buprestidae_sp1,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,HELL,HELL_A3_model2.csv
Ceratina_sp,4.0,0.8251,1.6939294346852114,0.0,27.0,3.1749,1.8742811447691754,27.0,0.1175888888888889,HELL,HELL_A3_model2.csv
Chasmatopterus_sp,12.0,10.665,7.038645413211632,0.0,27.0,1.3350000000000009,0.18966717622885051,27.0,0.04944444444444448,HELL,HELL_A3_model2.csv
Coptocephala_sp,2.0,0.2075,0.6954797762781613,0.0,17.0,1.7925,2.5773574748535593,17.0,0.10544117647058823,HELL,HELL_A3_model2.csv
Curculionidae,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,HELL,HELL_A3_model2.csv
Halictidae_sp1,1.0,0.0035,0.08993641562729517,0.0,6.0,0.9965,11.080050200461494,6.0,0.16608333333333333,HELL,HELL_A3_model2.csv
Halictidae_sp3,1.0,0.0089,0.13274996141327294,0.0,8.0,0.9911,7.465915541131791,8.0,0.1238875,HELL,HELL_A3_model2.csv
Heliotaurus_ruficollis,2.0,0.0202,0.17203173978062627,0.0,4.0,1.9798,11.508341440507593,4.0,0.49495,HELL,HELL_A3_model2.csv
Lasioglossum_sp3,3.0,0.0381,0.24465153880068588,0.0,11.0,2.9619,12.10660686836316,11.0,0.26926363636363637,HELL,HELL_A3_model2.csv
Lasioglossum_sp4,3.0,0.0435,0.2514240867680354,0.0,6.0,2.9565,11.759016560444646,6.0,0.49275,HELL,HELL_A3_model2.csv
Lasioglossum_sp5,5.0,0.4088,0.9287458300749943,0.0,20.0,4.5912,4.943440768535424,20.0,0.22956,HELL,HELL_A3_model2.csv
Malachius_sp,1.0,0.0031,0.05908247687688279,0.0,2.0,0.9969,16.873023148256962,2.0,0.49845,HELL,HELL_A3_model2.csv
Megachile_apicalis,2.0,0.445,1.1674379174624725,0.0,23.0,1.555,1.3319766102680022,23.0,0.06760869565217391,HELL,HELL_A3_model2.csv
Microlepidoptera,3.0,0.045,0.28772083401768633,0.0,10.0,2.955,10.270372008647643,10.0,0.2955,HELL,HELL_A3_model2.csv
Oedemera_sp,6.0,0.176,0.491577221620858,0.0,6.0,5.824,11.847579065597785,6.0,0.9706666666666667,HELL,HELL_A3_model2.csv
Paragus_tibialis,2.0,0.012,0.12270902880625781,0.0,2.0,1.988,16.20092685387318,2.0,0.994,HELL,HELL_A3_model2.csv
Phthiria_sp1,4.0,0.1796,0.5832476813376799,0.0,18.0,3.8204,6.550218924553465,18.0,0.21224444444444443,HELL,HELL_A3_model2.csv
