"Plant_id";"Andrena_sp";"Anthidiellum_strigatum";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Ceratina_sp";"Chalicodoma_sicula";"Chasmatopterus_sp";"Dasypoda_sp";"Diodontus_insidiosus";"Diptera_sp10";"Diptera_sp6";"Diptera_sp7";"Episyrphus_sp";"Halictidae_sp1";"Halictus_sp";"Heliotaurus_ruficollis";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp6";"Lindenius_luteiventris";"Lobonyx_aeneus";"Microlepidoptera";"Mordellidae_sp1";"Nitidulidae_sp1";"Nomada_sp";"Nustera_distigma";"Oedemera_sp";"Phthiria_sp";"Phthiria_sp1";"Plebejus_argus";"Pyronia_cecilia";"Rhyncomyia_cupraea";"Sphaerophoria_scripta";"Syrphidae_sp2";"Syrphidae_sp3";"Syrphidae_sp4";"Usia_sp";"Xylocopa_cantabrita"
"349";0;0;0;0;0;0;0.760993236905741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"350";0;0;0;0;0;0.746268656716418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"426";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.690386559276156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"427";10;0;0.0516956119264754;0;0;0;0;0;0;0;0;0;0;0;0;0.12961627796524;0;0;0.0325288993244634;0;0.40535378956984;0;0.0325288993244634;0.158656337477984;0;0;0;0;0;0.0323624595469256;0;0;0;0;0;0;0;0;0;0;0.0325288993244634
"428";0;0;0.0247136066253589;0;0;0;0;0;0;0;0;0.0768245838668374;0;0;0;0;0;0;0;0;0.888385063454366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"429";0.411732382177677;0;0;0.541134177856778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.08893615105922;0.526535729210196;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0287218764959311;0;0;0.0295275590551181;0;0.927462768310111
"430";0.643355760569967;0;0;1.60394987678271;0;0;0;0.0304568527918782;0;0;0.258401133078919;0.182105337518039;0;0;0.0327868852459016;0.00465058308073899;0;0;0;0;8.6783193129619;0;0;0.00465058308073899;0;0;0;0.0913705583756345;0;0;0;0;0;0;1.09656866781142;0.0655737704918033;0;0.0298210735586481;0;0.0596421471172962;1.53711421558247
"431";0.0888601221965864;0;0.122673606789644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3595166163142;0;0;0;0.110776311271019;0;0;0;0.0261210274270788;0;0;0;0;0;0;0;0;0;0;0;0.332326283987915
"432";0;0;0.0563802430961544;0;0;0;0;0.00389862357236867;0;0.35025340226669;0;0;0;0;0;0;0;0;0;0;1.24726134842448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0977729494839761;0;0;0;0;0.0242914979757085
"433";0;0;0;0;0;0;0;0;0;0;0;0;0;0.0273972602739726;0;0;0;0;0;0.356164383561644;3.01419452884612;0;0;0;0;0;0;0;0;0;0.0273972602739726;0.178428738827716;0;0;0;0;0;0;0;0;0.0354340053836543
"434";0;0;0.0302114803625378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.715858230667942;0;0;0.0604229607250755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0434310532030402
"435";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.226917390568111;0;0;0;0;3.83060768087986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0281776362577995
"460";0;0;3.54787959410708;0;0;0;0;0;0;0;0;0;0;0;0;0;0.967603525665568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"461";0;0;2.00688138656562;0;0;0;0;0;0;0;0;0;0;0;0;0;0.627150433301757;0;0;0;0;0;0;0;0.87801060662246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
