"Plant_id";"Acmaeodera_sp";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Cantharidae_sp";"Chasmatopterus_sp";"Coleoptera_sp1";"Diptera_sp3";"Diptera_sp4";"Diptera_sp9";"Episyrphus_balteatus";"Eristalis_sp";"Eucera_sp";"Eupeodes_sp";"Halictidae_sp1";"Heliotaurus_ruficollis";"Lasioglossum_sp2";"Lasioglossum_sp3";"Lobonyx_aeneus";"Malachius_sp";"Metasyrphus_corollae";"Nitidulidae_sp1";"Nustera_distigma";"Oedemera_sp";"Phthiria_sp";"Phthiria_sp1";"Rhyncomyia_cupraea";"Syrphidae_sp2";"Syrphidae_sp3";"Xylocopa_cantabrita"
"299";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.567375886524823;0;0;0
"301";0;0;0.48886474741988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.302474793767186
"302";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.492072170585019;0;0;0.153933154687528
"303";0;0;0;0;0;0.609480812641084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.575620767494357
"32";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.455873758036236;0;0;0;0;0;0;0;0;0
"33";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0332409972299169
"34";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.083639008006166
"35";0;0;0.106752729504426;0;0;0;0;0;0;0;0;0;0.212640283520378;0;0;0.0708800945067927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"42";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.106752729504426;0;0
"436";0;0.839836232421483;0;0;0;0;0;0;0.0305394993607812;0;0;0;0;0;0;0;0.0458092490411718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"437";0;0.924571775155469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0532127640377249;0;0;0.448982696568303;0;0;0;0.00997739325707341;0;0;0;0;0;0;0;0
"44";0;0;0.0343839541547278;0;0;0;0;0;0;0;0;0.103151862464183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"469";0;0.137375000289621;0.163934426229508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00675090740137719;0;0;0;0;0;0;0;0;0;0.0613957161445466;0;0;0
"470";0;0.0271664605465374;0;0;0;0;0;0;0;0;0.0824553366926248;0;0;0;0;0;0;0;0.0818180333239498;0;0;0;0;0;0;0;0;0;0;0;0;0
"501";0;0;0;0;0;0;0;0.683520542356779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0316455696202532;0;0;0;0;0
"502";0;0;0;0;0;0;0;0.135162960348359;0;0;0;0;0;0;0;0;0;0;0.0806225587133218;0;0;0;0;0;0;0;0;0;0;0;0;0
"503";0.036231884057971;0;0;0;0;0;0;0.0202688543639288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"504";0;0;0;0;0;0;0;2.67412293454496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"505";0;0;0;0;0;0;0;0.357193180898261;0;0;0;0;0;0;0;0;0;0.103085575803604;0;0;0;0;0;0;0;0;0;0;0;0;0;0
