"Plant_id";"Andrena_sp";"Anthophora_sp";"Apis_mellifera";"Bombylius_sp";"Cantharidae_sp";"Chalicodoma_sicula";"Chrysolina_americana";"Episyrphus_sp";"Eristalis_sp";"Eucera_sp";"Halictus_sp2";"Halictus_sp3";"Hymenoptera_sp1";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp6";"Lobonyx_aeneus";"Malachius_sp";"Malthodes_sp";"Nomada_sp";"Paragus_tibialis";"Rhyncomyia_cupraea";"Syrphidae_sp1";"Syrphidae_sp2";"Syrphidae_sp3";"Xylocopa_cantabrita"
"27";0;0;2.12043164200919;0;0;0;0;0;0;0;0;0;0;1.39065308538828;0;0;0;0;0;0;0;0;0;0;0;0.0248662388912698
"276";0;0;0.647388864911523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"278";0;0;0;0.772908353775597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"28";0;0;1.21598719949189;0;0;0;0;0;0;0.0727272727272727;0;0;0;1.10786215476015;0.109090909090909;0;0;0;0;0.0332963374028857;0;0;0;0;0;0
"281";0;0;0;0;0;0;0;0;0.400420243027336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"283";0;0;0;0.190791896462654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"287";0;0;0;0;0;0;0;0;0.152027027027027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0391988079991495
"289";0;0;0.0833691721347765;1.45237374315999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29";0;0;0.360290407803636;0;0;0;0.0185016658417186;0;0;0;0;0;0;0.111077405757511;0.249406175771971;0;0;0;0;0;0;0;0;0;0;0
"290";0;0;0;0.15824703970027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"30";0;0;4.54232044614089;0;0;0;0;0;0;0.508953817153629;0;0.282752120640905;0;2.24923329670982;0.0448660144602207;0;0;0;0;0;0;0;0.0149553381534069;0;0;0.142101628849638
