"Plant_id";"Amegilla_sp";"Andrena_sp";"Anthidiellum_strigatum";"Anthophora_bimaculata";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Chasmatopterus_sp";"Dasypoda_sp";"Diptera_sp1";"Diptera_sp4";"Episyrphus_sp";"Halictidae_sp1";"Heliotaurus_ruficollis";"Lasioglossum_sp2";"Lasioglossum_sp3";"Lasioglossum_sp6";"Lobonyx_aeneus";"Macroglossum_stellatarum ";"Mordellidae_sp1";"Nitidulidae_sp1";"Nustera_distigma";"Phthiria_sp";"Phthiria_sp1";"Plebejus_argus";"Rhyncomyia_cupraea";"Sphaerophoria_scripta";"Syrphidae_sp1";"Syrphidae_sp3";"Tiphia_morio";"Xylocopa_cantabrita"
"519";0;0;0;0;0;0;0;0;0;0.86245123073969;0;0;0;0;0;0;0.377790497996565;0;0;0;0;0;0;0;0;0.02877504815835;0;0;0;0;0;0;0
"520";0;0;0;0;0;0;0;0;0;0.60200496018926;0;0;0;0;0;0.0707276235595299;0;0;0;0;0;0;0;0;0.0294406280667321;0;0;0;0;0;0;0;0
"521";0;0;0;0;0;0;0;0;0;0.26262046167729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0327689787001638;0;0;0;0;0;0;0;0.0327689787001638
"522";0;0;0;0;0;0;0;0;0;0.51937542824131;0;0;0;0;0;0.079069518258299;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0252716950078691;0;0;0
"523";0;0;0;0;0;0;0;0;0;0.0506979569576824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"524";0;0;0;0;0;0;0;0;0;0.610933084558125;0;0;0;0;0;0.103606164830696;0.0622729631551635;0;0;0;0;0;0;0.0724696832531144;0;0;0;0;0;0;0;0;0.176978883521035
"525";0;0;0;0;0;0;0;0;0;0.647749311742712;0;0;0;0;0;0;0.355851296546446;0;0.0294985250737463;0;0;0;0;0;0.126795822371044;0;0;0;0;0;0;0;0.370227554721607
"526";0;0;0;0;0;0;0;0;0;0.213298370999308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"527";0;0;0;0;0;0;0;0.00949923276552758;0;0.273271926438111;0.0949868073878628;0;0;0;0;0.00998688670190491;0.199115044247788;0;0;0;0;0;0;0;0.0331858407079646;0.0289853522329601;0;0;0;0;0;0;0.0331858407079646
"528";0;0;0;0;0;0;0;0;0;0.738069459061925;0;0;0;0;0;0;0.159659393294305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0319318786588611
"529";0;0;0;0;0;0;0;0;0;1.05830583839952;0;0;0;0;0;0.0657399203420863;0.190880169671262;0;0;0;0;0;0;0;0;0.00700832284034479;0;0;0;0;0;0;0.190880169671262
"530";0;0;0;0;0;0;0;0;0;0.849352440466898;0;0;0;0;0;0.0337045625673619;0.142228032934106;0;0;0.0567375886524823;0;0;0;0;0.0647598488936859;0.0247417255085394;0;0;0;0;0;0;0
"592";0;0;0.0312412966033196;0;0;0;0;0;0;0;0;0;0;0;0.0156206483016598;0;0;0.0234309724524897;0;0;0;0;0;0;0;0;0.0781032415082989;0;0;0;0;0;0
"593";0;0;0;0;0;0;0.145325893509924;0;0;0;0;0;0;0;0.0908286834437027;0;0;0.127160156821184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"594";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.658507954966845;0;0;0;0;0;0;0;0;0;0;0;0
"598";0;0;0;0;0;0;0.0795998626882999;0;0;0;0;0;0;0;0.0144727023069636;0;0;0;0;0;0;0.00723635115348181;0;0;0;0;0;0;0;0;0;0;0
"599";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0838101033594166;0;0;0;0;0;0;0;0;0;0;0;0;0.0119728719084881;0;0;0;0;0
