"Plant_id";"Andrena_sp";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Ceratina_sp";"Chalicodoma_sicula";"Chasmatopterus_sp";"Chelostoma_sp";"Dasypoda_sp";"Deilus_sp";"Diodontus_insidiosus";"Diptera_sp1";"Diptera_sp3";"Diptera_sp4";"Episyrphus_sp";"Eucera_sp";"Heliotaurus_ruficollis";"Hylaeus_sp";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp6";"Lindenius_luteiventris";"Lobonyx_aeneus";"Megachile_sp";"Megachilidae_sp";"Nustera_distigma";"Nymphalis_polychloros";"Osmia_sp";"Phthiria_sp";"Phthiria_sp1";"Rhyncomyia_cupraea";"Sphaerophoria_scripta";"Syrphidae_sp3";"Tiphia_morio";"Usia_sp";"Vespidae";"Vespula_sp";"Xylocopa_cantabrita"
"383";0;0.859315201042561;0;0;0.268397540418083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.627073798910124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"384";0;0.23090602136939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.83684725302597;0;0;0;0;0;0;0;0;0;0;0.0646551724137931;0;0;0;0;0;0;0
"385";0;0;0;0;0;0;0;0;0;0;0.306834030683403;0;0;0;0;0;0;0;0.0370255638348417;0;0;2.06073845262571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.278940027894003
"386";2.18243269509401;0;0;0;0;0;0;0;0;0.0636942675159236;0;0;0;0;0;0.120845921450151;0;0;0;0;0;3.32332585311021;0;0.0056662235257329;0;0.0169986705771987;0.573248407643312;0.0636942675159236;0;0;0.0636942675159236;0;1.03939844496143;0;0;0.151057401812689;0;0;0;9.7109153618919
"387";0;0.017500871329175;0;0;0.110899253111257;0;0;0;0;0;0;0;0;0;0.0167867686970798;0;0;0;0;0.0167867686970798;0;0.0517885113554298;0;0;0;0;0;0;0;0;0;0;0;0;0.017500871329175;0;0;0;0;0.00875043566458751
"388";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.69905607995558;0;0;0;0;0;0.0333148250971682;0;0;0;0;0.0333148250971682;0;0;0;0;0;0;0
"389";0.188297066823229;0.019553312985379;0;0;0.00829706682322878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0710627557643;0.15;0;0.03;0;0;0;0;0;0;0;0.15;0;0;0;0;0;0;1.02
"390";0.235355862985165;0.0753620462762083;0;0;0;0;0;0;0.0995146115297643;0;0;0;0.0278940027894003;0;0;0;0;0;0;0;0;3.06876234092411;0;0;0.0646203554119548;0.236886632825719;0;0;0;0;0;0;0.314445561831704;0;0;0.0323101777059774;0.167364016736402;0;0;1.27017084709337
"391";0.0174955433754009;0.0547193910225539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.793676978656608;0;0;3.87574820300119;0;0;0.083035844324927;0;0;0.0774351775662571;0;0;0;0;0.473796058949299;0.0294406280667321;0;0.206084396467125;0;0.0588812561334642;0;0.916219562525794
"392";0.47244094488189;0;0;0;0;0;0;0;0;0;0.131233595800525;0;0;0;0;0;0;0;0;0;0;1.0498687664042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.319788648833107
