"Plant_id";"Ancistrocerus_sp";"Andrena_sp";"Anthidiellum_strigatum";"Anthophora_sp";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Ceratina_sp";"Chasmatopterus_sp";"Dasypoda_sp";"Diptera_sp1";"Diptera_sp10";"Diptera_sp3";"Diptera_sp7";"Diptera_sp8";"Episyrphus_sp";"Eucera_sp";"Halictidae_sp1";"Halictus_sp";"Heliotaurus_ruficollis";"Lasioglossum_sp2";"Lasioglossum_sp3";"Lasioglossum_sp4";"Lasioglossum_sp6";"Lobonyx_aeneus";"Lomatia_sp";"Mordellidae_sp";"Mylabris_sp";"Nustera_distigma";"Phthiria_sp";"Phthiria_sp1";"Plebejus_argus";"Rhyncomyia_cupraea";"Scaeva_sp";"Sphaerophoria_scripta";"Syrphidae_sp5";"Tiphia_morio";"Vespidae";"Vespula_sp";"Xylocopa_cantabrita"
"264";0;0;0;0;0;0;0;6.06816820457271;0.399065611897633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"265";0;0;0;0;0;0;0;1.76570997755769;1.99167599793197;0;0;0;0;0;0;0;0;0;0;0;0;0;0.394520547945206;0;0;0;0;0;0;0;0;0;0;0;0.879501276734734;0;0;0;0;0;0;0
"266";0;0.478468899521531;0;0;0;0;0;1.88770571151985;0.968725827593714;0;0;0;0.358851674641148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.717703349282297;0;0;0;0;0;0;0
"267";0;2.0250425274409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.238540344932511;0;0;0;0;0;0;0
"268";0;0;0;0;0;0.100682613120865;0;0.342132650112402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.100682613120865;0;0;0;0;0;0;0
"271";0;0;0;0;0;0.347021399652979;0;0.3139199230746;0.451127819548872;0;0;0;0;0;0;0;0;0;0.277617119722383;0;0;0;0.763447079236553;0;0;0;0;0;0;0;0;0;0;0;0.479167329374114;0;0;0;0;0;0;0
"275";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.70138606132514
"366";0;0;0;0;0;0;0;0.0541196182923375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.39545691242644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"367";0.087378640776699;0.145631067961165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.029126213592233;0;0;0;0;0;0.186318226656006;0.0447187919630895;0;0;0;0;0;0;0.058252427184466;0;0;0;0.611650485436893;0;0.029126213592233;0;0;0;0;0
"368";0;0;0;0;0.0303030303030303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0303030303030303;0;1.14444609224381;0;0;0.195758564437194;0;0;0;0;0.032626427406199;0;0;0;0.38897338463092;0;0.065252854812398;0;0;0;0;0
"369";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00206562263071119;0;0;0;0;0;0;0;4.10970864079414;0.0182995056557365;0;0;0;0;0;0;0;0;0;0;0.34787707780409;0;0;0.00365990113114731;0;0;0;1.94016087026996
"370";0;0.409356725146199;0;0;0.0282618935468676;0.024055896886824;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0292397660818713;0;0;3.72231105288132;0.0646068862835162;0;0;0;0;0;0;0.0671271544091682;0;0;0;0.269683779691193;0.263157894736842;0;0;0;0.13713828942643;0;0
"371";0;0.15600624024961;0;0;0.00403527560613678;0;0;0.501789576663035;0;0.0679886685552408;0;0.530421216848674;0;0;0;0;0;0.00403527560613678;0;0.062402496099844;0;0;4.08772654041221;0.0242116536368207;0;0;0;0;0;0;0.031023784901758;0;0;0;0.062047569803516;0;0.788410459931145;0;0;0.062402496099844;0.062402496099844;0
"372";0;0;0;0;0.033003300330033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.29251970614378;0;0;0;0;0;0.033003300330033;0;0;0;0;0;0;0;0;0;0;0;0;0
"373";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0394585934546466;0;0;0;0;0;0.0310719834282755;0;1.20453987959015;0;0;0;0.102462655400683;0;0;0;0.0403186885441319;0;0;0;0.16832120509034;0;0;0;0;0;0;0
"374";0;0;0;0;0;0;0;0;0;0.0138720240287979;0;0;0.0297914597815293;0;0;0.0297914597815293;0;0;0;0;0.0297914597815293;0;3.5582266253922;0;0;0;0;0;0;0.0297914597815293;0;0;0;0;0.0270083793044402;0;0;0;0;0.00724058678573714;0;0
"375";0;0;0;0;0.0717981276080852;0;0;0.0528581125755949;0;0;0;0;0;0;0;0.0916030534351145;0;0;0;0;0.0610687022900763;0;3.17543877130707;0;0;0;0.253827657330881;0;0;0;0;0.122137404580153;0;0;1.18761645729142;0;0;0;0;0;0;0.0305343511450382
"376";0;0;0;0;0;0.130081300813008;0;0.0282208821749562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.21893817623775;0;0;0;0;0;0;0;0.0909713724511819;0;0;0;0.130081300813008;0;0.0584510472479299;0;0.060790273556231;0;0;0.227642276422764
"377";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0992713934877082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"378";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.200786896806666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"379";0;0;0;0;0.0157983377012459;0.0192514724120599;0;0.015401177929648;0;0;0.00789916885062296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0155997578154469;0;0;0;0;0;0;0
"471";0;0;0;0;0;0;0;0;0;0;0.00797886267780415;0;0;0;0;0;0;0;0;0;0;0.133811325794118;0.739024482471528;0;0;0;0;0;0;0;0;0;0.0228888043607997;0;0;0;0;0;0;0;0;0
"472";0;0;0;0;0;0.0901935033696449;0;0.00231939884189437;0;0;0.0587021938616932;0;0;0;0;0;0;0;0;0;0;0.248649889578161;0.0885914363964323;0;0;0;0;0;0;0;0;0;0.0306144648190169;0;0;0;0;0;0;0;0;0
"473";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0593638112005856;0;0;0;0;0;0;0;0;0
"476";0;0;0;0;0;0;0;0;0;0;0.61457269700025;0;0;0;0;0;0;0;0;0;0;0;0.327898795805997;0;0;0;0;0;0;0;0;0.0288322921672273;0.00989396853343093;0;0;0;0;0;0;0;0;0
