especie,real_value,model_mean,model_std,model_min,model_max,abs_error,z_score,model_range,z_range,metric,plot
Oedemera_sp,2.0,3.9016,4.327330588134194,0.0,24.0,1.9016000000000002,0.4394395023144994,24.0,0.07923333333333334,WASS,WASS_C2_1regular
Phthiria_sp,2.0,2.0803,3.332680990772844,0.0,26.0,0.08029999999999982,0.024094715402501923,26.0,0.0030884615384615312,WASS,WASS_C2_1regular
Phthiria_sp1,1.0,0.1187,0.8016698681238686,0.0,14.0,0.8813,1.099330329157173,14.0,0.06294999999999999,WASS,WASS_C2_1regular
Rhyncomyia_cupraea,6.0,35.6295,4.435132105098893,11.0,44.0,29.6295,6.680635277117485,33.0,0.8978636363636364,WASS,WASS_C2_1regular
Syrphidae_sp2,1.0,3.6344,4.268601496494312,0.0,28.0,2.6344,0.6171576339847048,28.0,0.09408571428571429,WASS,WASS_C2_1regular
Syrphidae_sp3,1.0,1.0524,2.4368931213347227,0.0,19.0,0.0524,0.02150278957301982,19.0,0.0027578947368421054,WASS,WASS_C2_1regular
Xylocopa_cantabrita,10.0,33.8929,4.859957974010781,10.0,44.0,23.892899999999997,4.916277080536539,34.0,0.7027323529411764,WASS,WASS_C2_1regular
Acmaeodera_sp,1.0,0.766,1.9986604174662626,0.0,17.0,0.23399999999999999,0.11707841810198351,17.0,0.013764705882352941,HELL,HELL_C2_1regular
Anthrenus_sp,4.0,24.3057,12.010415168396614,0.0,43.0,20.3057,1.6906742785570839,43.0,0.47222558139534887,HELL,HELL_C2_1regular
Apis_mellifera,6.0,17.8465,10.212157782107404,0.0,41.0,11.846499999999999,1.160038872563848,41.0,0.2889390243902439,HELL,HELL_C2_1regular
Attagenus_sp,1.0,18.5505,10.35094024455724,0.0,42.0,17.5505,1.6955464513698117,42.0,0.4178690476190476,HELL,HELL_C2_1regular
Bombus_terrestris,1.0,2.0929,3.3524309790578766,0.0,23.0,1.0929000000000002,0.3260022374292504,23.0,0.04751739130434784,HELL,HELL_C2_1regular
Bombylius_sp,1.0,11.4571,7.963146410815012,0.0,36.0,10.4571,1.3131869565775995,36.0,0.29047500000000004,HELL,HELL_C2_1regular
Cantharidae_sp,1.0,0.686,1.9202012179122612,0.0,21.0,0.31399999999999995,0.16352452913314808,21.0,0.01495238095238095,HELL,HELL_C2_1regular
Chasmatopterus_sp,13.0,10.2669,14.058372173648605,0.0,44.0,2.7331000000000003,0.19441084403235512,44.0,0.0621159090909091,HELL,HELL_C2_1regular
Coleoptera_sp1,1.0,0.5904,1.746520218402099,0.0,15.0,0.40959999999999996,0.23452348028054623,15.0,0.027306666666666663,HELL,HELL_C2_1regular
